instances,algorithm,fitness,evaluations
G250.01,BF,62.5,40295
G250.01,G,64.0,531284
G250.01,EBF,61.0,40902
G250.01,EG,59.0,593788
G250.01,ES,63.5,48792
G250.01,EPNES,60.0,76101
G250.01-1,BF,59.0,36329
G250.01-1,G,54.0,500032
G250.01-1,EBF,59.0,56680
G250.01-1,EG,60.0,562536
G250.01-1,ES,59.0,66846
G250.01-1,EPNES,59.0,53474
G250.01-2,BF,60.5,62725
G250.01-2,G,61.0,546910
G250.01-2,EBF,64.0,78977
G250.01-2,EG,60.5,546910
G250.01-2,ES,62.0,58453
G250.01-2,EPNES,58.5,50080
G250.01-3,BF,55.5,47587
G250.01-3,G,54.5,484406
G250.01-3,EBF,54.5,45066
G250.01-3,EG,53.5,562536
G250.01-3,ES,54.0,184450
G250.01-3,EPNES,57.0,46159
G250.02,BF,145.5,96344
G250.02,G,149.0,484406
G250.02,EBF,148.5,104088
G250.02,EG,148.5,453154
G250.02,ES,146.5,62834
G250.02,EPNES,145.5,59079
G250.02-1,BF,144.5,50432
G250.02-1,G,146.0,625002
G250.02-1,EBF,142.5,123622
G250.02-1,EG,146.0,625000
G250.02-1,ES,142.0,128036
G250.02-1,EPNES,147.5,63208
G250.02-2,BF,149.0,91621
G250.02-2,G,148.5,625002
G250.02-2,EBF,140.5,71725
G250.02-2,EG,145.0,578162
G250.02-2,ES,141.5,46452
G250.02-2,EPNES,150.0,72208
G250.02-3,BF,144.0,56758
G250.02-3,G,146.0,562536
G250.02-3,EBF,146.5,102052
G250.02-3,EG,143.5,625002
G250.02-3,ES,140.5,171569
G250.02-3,EPNES,142.5,89396
G250.04,BF,400.5,47218
G250.04,G,405.5,625000
G250.04,EBF,390.0,159561
G250.04,EG,410.0,625002
G250.04,ES,400.0,163632
G250.04,EPNES,397.5,83790
G250.04-1,BF,383.5,56586
G250.04-1,G,386.0,625002
G250.04-1,EBF,376.5,69255
G250.04-1,EG,385.5,625002
G250.04-1,ES,377.0,45719
G250.04-1,EPNES,378.5,39899
G250.04-2,BF,388.5,106798
G250.04-2,G,407.5,625002
G250.04-2,EBF,396.0,80703
G250.04-2,EG,394.0,625002
G250.04-2,ES,386.5,225891
G250.04-2,EPNES,387.0,61624
G250.04-3,BF,394.5,103150
G250.04-3,G,411.0,625002
G250.04-3,EBF,404.0,52694
G250.04-3,EG,404.0,625002
G250.04-3,ES,404.0,71500
G250.04-3,EPNES,409.0,58821
G250.08,BF,865.5,114478
G250.08,G,891.0,625002
G250.08,EBF,870.0,192256
G250.08,EG,891.5,625002
G250.08,ES,870.0,138686
G250.08,EPNES,881.0,111120
G250.08-1,BF,903.0,56871
G250.08-1,G,918.5,625002
G250.08-1,EBF,887.0,80643
G250.08-1,EG,916.5,625002
G250.08-1,ES,896.0,59658
G250.08-1,EPNES,908.0,47173
G250.08-2,BF,904.5,279514
G250.08-2,G,928.0,625002
G250.08-2,EBF,903.0,170076
G250.08-2,EG,932.5,625002
G250.08-2,ES,907.5,128170
G250.08-2,EPNES,909.0,111378
G250.08-2,BF,904.5,279514
G250.08-2,G,928.0,625002
G250.08-2,EBF,903.0,170076
G250.08-2,EG,932.5,625002
G250.08-2,ES,907.5,128170
G250.08-2,EPNES,909.0,111378
G250.16,BF,2000.0,219947
G250.16,G,2034.0,625000
G250.16,EBF,1991.0,95158
G250.16,EG,2029.0,625002
G250.16,ES,2003.0,119845
G250.16,EPNES,1994.0,122099
G250.16-1,BF,2024.0,145494
G250.16-1,G,2049.0,625002
G250.16-1,EBF,2020.0,195818
G250.16-1,EG,2063.0,625002
G250.16-1,ES,2018.0,51947
G250.16-1,EPNES,2037.0,63072
G250.16-2,BF,2033.0,117396
G250.16-2,G,2070.0,625002
G250.16-2,EBF,2041.0,140105
G250.16-2,EG,2075.0,625002
G250.16-2,ES,2028.0,161675
G250.16-2,EPNES,2029.0,176453
G250.16-3,BF,2031.5,49804
G250.16-3,G,2051.0,625002
G250.16-3,EBF,2037.0,54146
G250.16-3,EG,2056.0,625002
G250.16-3,ES,2030.0,148552
G250.16-3,EPNES,2044.5,100522
