instance	k	algorithm	evaluations	value	time	steps
G250.01	2	BF	39002	65.0	3.4634997844696045	53
G250.01	2	BF	49257	64.0	4.326202392578125	60
G250.01	2	BF	39041	60.0	3.3999438285827637	71
G250.01	2	BF	56566	50.0	4.969451189041138	100
G250.01	2	BF	42352	63.0	3.744767904281616	71
G250.01	2	BF	43319	64.0	3.84151291847229	64
G250.01	2	BF	85187	57.0	7.478074550628662	76
G250.01	2	BF	54890	54.0	4.833982467651367	84
G250.01	2	BF	42630	66.0	3.787057876586914	56
G250.01	2	BF	40295	62.0	3.5315184593200684	78
G250.01	2	G	500032	60.0	44.315550327301025	30
G250.01	2	G	437528	73.0	39.04459571838379	26
G250.01	2	G	484406	69.0	42.83699011802673	29
G250.01	2	G	515658	70.0	45.76297450065613	31
G250.01	2	G	390650	63.0	34.51751708984375	23
G250.01	2	G	500032	59.0	44.22010803222656	30
G250.01	2	G	390650	69.0	34.614359855651855	23
G250.01	2	G	453154	56.0	39.974672079086304	27
G250.01	2	G	484406	65.0	42.94301509857178	29
G250.01	2	G	531284	61.0	46.978150367736816	32
G250.01	2	EBF	52642	52.0	4.648660182952881	81
G250.01	2	EBF	49121	62.0	4.362146377563477	83
G250.01	2	EBF	47855	70.0	4.259005069732666	64
G250.01	2	EBF	38184	65.0	3.3705496788024902	71
G250.01	2	EBF	58772	60.0	5.207243919372559	77
G250.01	2	EBF	39710	57.0	3.5230910778045654	89
G250.01	2	EBF	39639	60.0	3.5229811668395996	78
G250.01	2	EBF	47089	61.0	4.174474477767944	63
G250.01	2	EBF	38319	61.0	3.3897347450256348	73
G250.01	2	EBF	40902	66.0	3.649083137512207	77
G250.01	2	EG	515658	63.0	46.070608377456665	31
G250.01	2	EG	468780	62.0	41.94951248168945	28
G250.01	2	EG	453154	61.0	40.289530992507935	27
G250.01	2	EG	578162	58.0	51.80674982070923	35
G250.01	2	EG	500032	59.0	44.72246599197388	30
G250.01	2	EG	593788	59.0	53.17480516433716	36
G250.01	2	EG	500032	55.0	44.77475380897522	30
G250.01	2	EG	625000	45.0	55.81591320037842	38
G250.01	2	EG	609414	60.0	54.712923526763916	37
G250.01	2	EG	593788	51.0	53.212703466415405	36
G250.01	2	ES	64368	57.0	5.8665759563446045	79
G250.01	2	ES	68317	71.0	6.206969499588013	59
G250.01	2	ES	64798	70.0	5.890799045562744	63
G250.01	2	ES	91022	64.0	8.198541402816772	70
G250.01	2	ES	131721	50.0	12.08629298210144	76
G250.01	2	ES	37447	66.0	3.315107822418213	63
G250.01	2	ES	40071	50.0	3.5232701301574707	81
G250.01	2	ES	67503	62.0	6.124746322631836	82
G250.01	2	ES	70687	64.0	6.41780161857605	64
G250.01	2	ES	48792	63.0	4.303215503692627	63
G250.01	2	EPNES	87579	62.0	8.331451892852783	68
G250.01	2	EPNES	67138	55.0	6.670482158660889	90
G250.01	2	EPNES	39731	58.0	4.122796297073364	68
G250.01	2	EPNES	41369	58.0	4.310739517211914	77
G250.01	2	EPNES	42037	51.0	4.465664863586426	86
G250.01	2	EPNES	46995	62.0	4.794558525085449	74
G250.01	2	EPNES	45489	65.0	4.548070430755615	63
G250.01	2	EPNES	38946	70.0	4.073477268218994	70
G250.01	2	EPNES	45586	53.0	4.783691644668579	83
G250.01	2	EPNES	76101	66.0	7.283129692077637	65
G250.01	3	BF	75594	79.0	6.762238264083862	96
G250.01	3	BF	70073	83.0	6.288434982299805	93
G250.01	3	BF	64110	81.0	5.702625274658203	119
G250.01	3	BF	66012	88.0	5.9566428661346436	105
G250.01	3	BF	63954	85.0	5.727149724960327	113
G250.01	3	BF	64485	96.0	5.810096263885498	96
G250.01	3	BF	79225	84.0	7.132596015930176	117
G250.01	3	BF	84187	79.0	7.558872222900391	104
G250.01	3	BF	66454	80.0	5.92867374420166	94
G250.01	3	BF	85581	86.0	7.721849203109741	105
G250.01	3	G	625002	113.0	57.86223030090332	30
G250.01	3	G	625002	110.0	57.6004958152771	30
G250.01	3	G	625002	108.0	58.58346366882324	30
G250.01	3	G	625002	105.0	57.8385648727417	30
