instances,BFS,GS,EBFS,EGS,ESS,EPNS
G250.01,98.5,145.0,101.0,142.5,97.0,103.0
G250.01-1,96.0,137.0,93.0,135.5,93.5,94.5
G250.01-2,100.5,152.5,101.5,150.5,104.0,100.5
G250.01-3,90.0,124.0,86.0,128.5,91.0,88.5
G250.02,239.5,315.5,241.5,315.5,240.5,240.5
G250.02-1,236.5,316.5,236.5,318.0,238.5,233.5
G250.02-2,238.5,314.5,239.0,311.0,239.5,233.0
G250.02-3,235.5,302.0,237.0,306.0,237.0,235.0
G250.04,634.0,760.5,635.0,760.0,640.0,638.5
G250.04-1,604.5,723.0,607.0,721.0,598.5,605.5
G250.04-2,617.5,741.0,625.0,742.5,622.5,620.5
G250.04-3,637.0,767.5,640.0,763.5,642.5,644.5
G250.08,1380.0,1551.5,1375.0,1549.5,1371.5,1374.0
G250.08-1,1412.0,1602.0,1415.5,1584.0,1405.0,1411.0
G250.08-2,1422.5,1608.0,1430.5,1605.0,1427.0,1423.0
G250.08-2,1422.5,1608.0,1430.5,1605.0,1427.0,1423.0
G250.16,3106.0,3332.5,3102.0,3345.0,3104.5,3106.0
G250.16-1,3149.0,3393.0,3140.5,3384.5,3138.0,3136.0
G250.16-2,3164.0,3399.0,3153.5,3404.0,3158.0,3162.0
G250.16-3,3144.5,3385.5,3146.0,3382.5,3142.5,3152.0
