instances,BFS,GS,EBFS,EGS,ESS,EPNS
G250.01,62.5,64.0,61.0,59.0,63.5,60.0
G250.01-1,59.0,54.0,59.0,60.0,59.0,59.0
G250.01-2,60.5,61.0,64.0,60.5,62.0,58.5
G250.01-3,55.5,54.5,54.5,53.5,54.0,57.0
G250.02,145.5,149.0,148.5,148.5,146.5,145.5
G250.02-1,144.5,146.0,142.5,146.0,142.0,147.5
G250.02-2,149.0,148.5,140.5,145.0,141.5,150.0
G250.02-3,144.0,146.0,146.5,143.5,140.5,142.5
G250.04,400.5,405.5,390.0,410.0,400.0,397.5
G250.04-1,383.5,386.0,376.5,385.5,377.0,378.5
G250.04-2,388.5,407.5,396.0,394.0,386.5,387.0
G250.04-3,394.5,411.0,404.0,404.0,404.0,409.0
G250.08,865.5,891.0,870.0,891.5,870.0,881.0
G250.08-1,903.0,918.5,887.0,916.5,896.0,908.0
G250.08-2,904.5,928.0,903.0,932.5,907.5,909.0
G250.08-2,904.5,928.0,903.0,932.5,907.5,909.0
G250.16,2000.0,2034.0,1991.0,2029.0,2003.0,1994.0
G250.16-1,2024.0,2049.0,2020.0,2063.0,2018.0,2037.0
G250.16-2,2033.0,2070.0,2041.0,2075.0,2028.0,2029.0
G250.16-3,2031.5,2051.0,2037.0,2056.0,2030.0,2044.5
