instances,BFS,GS,EBFS,EGS,ESS,EPNS
G124.01,11.5,9.0,12.0,10.0,10.0,11.5
G124.02,36.0,35.5,36.5,34.5,36.0,33.5
G124.04,111.0,113.0,113.0,116.0,112.0,112.0
G124.08,257.5,267.5,257.5,268.0,257.5,254.0
G124.16,656.0,658.0,651.5,665.0,649.5,654.5
G124.32,1374.0,1398.5,1385.5,1398.5,1380.5,1386.0
G124.64,2980.5,3004.5,2989.0,3001.5,2979.0,2989.0
G124.01-1,9.0,6.0,6.5,7.0,9.0,6.5
G124.01-2,11.5,11.5,11.5,9.0,10.5,11.0
G124.01-3,9.0,9.0,9.0,8.0,10.0,10.0
G124.02-1,37.0,39.5,37.5,37.0,39.0,38.0
G124.02-2,42.0,46.5,46.0,44.5,44.5,46.0
G124.02-3,36.5,34.5,35.5,35.0,33.5,34.5
G124.04-1,94.5,95.5,94.5,94.0,95.0,89.5
G124.04-2,106.5,109.0,108.0,112.5,104.5,109.5
G124.04-3,103.5,104.0,106.0,107.5,101.5,102.0
G124.08-1,262.0,277.5,267.0,274.5,270.0,268.0
G124.08-2,259.5,274.0,260.0,271.0,269.0,263.0
G124.08-3,280.0,284.5,282.0,283.0,277.0,277.5
G124.16-1,598.0,609.0,605.5,611.0,607.5,601.0
G124.16-2,638.0,645.5,642.5,650.5,637.5,639.0
G124.16-3,628.5,635.5,623.5,635.0,623.5,622.5
G124.32-1,1377.0,1395.0,1380.0,1392.5,1383.0,1383.5
G124.32-2,1381.0,1398.0,1381.5,1397.0,1374.0,1380.5
G124.32-3,1397.0,1421.5,1396.0,1419.5,1405.0,1400.0
G124.64-1,2989.0,3010.5,2988.0,3008.0,2990.0,3000.5
G124.64-2,3028.5,3041.0,3027.5,3043.0,3028.0,3034.0
G124.64-3,2999.5,3022.0,3005.5,3024.0,3005.5,3002.0
