instances,algorithm,fitness,evaluations
G124.02-2,BF,32.5,11594
G124.02-2,G,32.0,80745
G124.02-2,EBF,33.0,10633
G124.02-2,EG,32.0,76900
G124.02-2,ES,34.5,35859
G124.02-2,EPNES,32.0,10071
G124.02-3,BF,24.0,10834
G124.02-3,G,23.5,84590
G124.02-3,EBF,26.0,13307
G124.02-3,EG,26.0,73055
G124.02-3,ES,24.5,9853
G124.02-3,EPNES,25.5,10517
G124.04-1,BF,62.5,13712
G124.04-1,G,68.0,57675
G124.04-1,EBF,65.5,25818
G124.04-1,EG,69.0,80745
G124.04-1,ES,67.5,12469
G124.04-1,EPNES,64.0,12364
G124.04-2,BF,82.0,10178
G124.04-2,G,76.0,76900
G124.04-2,EBF,76.5,15478
G124.04-2,EG,80.0,84590
G124.04-2,ES,79.0,28758
G124.04-2,EPNES,77.5,8657
G124.04-3,BF,78.5,9794
G124.04-3,G,78.5,76900
G124.04-3,EBF,75.5,9337
G124.04-3,EG,75.0,92280
G124.04-3,ES,77.5,16810
G124.04-3,EPNES,75.0,15550
G124.08-1,BF,191.5,23668
G124.08-1,G,191.0,115350
G124.08-1,EBF,194.0,11228
G124.08-1,EG,196.5,96125
G124.08-1,ES,192.0,74380
G124.08-1,EPNES,192.0,23796
G124.08-2,BF,196.0,30382
G124.08-2,G,194.0,99970
G124.08-2,EBF,189.0,16071
G124.08-2,EG,190.5,107660
G124.08-2,ES,186.0,14500
G124.08-2,EPNES,195.5,20586
G124.08-3,BF,195.5,21646
G124.08-3,G,200.5,103815
G124.08-3,EBF,203.0,15346
G124.08-3,EG,202.5,80745
G124.08-3,ES,201.0,13771
G124.08-3,EPNES,200.5,30827
G124.16-1,BF,436.0,19261
G124.16-1,G,437.0,99970
G124.16-1,EBF,438.0,19540
G124.16-1,EG,437.0,80745
G124.16-1,ES,433.5,43355
G124.16-1,EPNES,445.5,26201
G124.16-2,BF,468.0,22069
G124.16-2,G,466.5,99970
G124.16-2,EBF,471.5,16998
G124.16-2,EG,468.5,65365
G124.16-2,ES,468.0,21482
G124.16-2,EPNES,469.5,31792
G124.16-3,BF,458.0,26463
G124.16-3,G,458.0,88435
G124.16-3,EBF,449.0,19784
G124.16-3,EG,454.5,103815
G124.16-3,ES,463.0,28133
G124.16-3,EPNES,459.5,14670
G124.32-1,BF,1013.5,22255
G124.32-1,G,1018.5,107660
G124.32-1,EBF,1015.5,33461
G124.32-1,EG,1017.5,80745
G124.32-1,ES,1011.5,68294
G124.32-1,EPNES,1014.5,20245
G124.32-2,BF,1014.0,18670
G124.32-2,G,1016.0,80745
G124.32-2,EBF,1011.5,16567
G124.32-2,EG,1017.5,99970
G124.32-2,ES,1019.5,19833
G124.32-2,EPNES,1016.0,39336
G124.32-3,BF,1030.5,19361
G124.32-3,G,1039.0,92280
G124.32-3,EBF,1038.5,17221
G124.32-3,EG,1027.0,107660
G124.32-3,ES,1034.5,24487
G124.32-3,EPNES,1032.5,25133
G124.64-1,BF,2215.5,14206
G124.64-1,G,2223.0,103815
G124.64-1,EBF,2217.5,26753
G124.64-1,EG,2221.5,126885
G124.64-1,ES,2219.0,26649
G124.64-1,EPNES,2219.0,13256
G124.64-2,BF,2237.5,36270
G124.64-2,G,2258.0,80745
G124.64-2,EBF,2246.5,18321
G124.64-2,EG,2254.0,103815
G124.64-2,ES,2249.0,93462
G124.64-2,EPNES,2245.0,33499
G124.64-3,BF,2219.0,41264
G124.64-3,G,2229.5,92280
G124.64-3,EBF,2224.0,53167
G124.64-3,EG,2228.0,103815
G124.64-3,ES,2227.5,48526
G124.64-3,EPNES,2233.5,18256
