instances,algorithm,fitness,evaluations
G124.01,BF,9.0,12965
G124.01,G,6.5,65365
G124.01,EBF,7.5,9524
G124.01,EG,6.0,65365
G124.01,ES,8.0,9322
G124.01,EPNES,8.0,9167
G124.02,BF,23.5,9845
G124.02,G,22.5,65365
G124.02,EBF,25.0,11371
G124.02,EG,25.5,61520
G124.02,ES,25.0,24867
G124.02,EPNES,24.5,14470
G124.04,BF,81.0,12250
G124.04,G,81.0,84590
G124.04,EBF,79.0,13944
G124.04,EG,85.5,84590
G124.04,ES,80.0,39463
G124.04,EPNES,79.0,16792
G124.08,BF,188.5,18840
G124.08,G,186.5,80745
G124.08,EBF,188.5,12738
G124.08,EG,187.0,88435
G124.08,ES,190.5,22577
G124.08,EPNES,186.5,24886
G124.16,BF,476.5,20593
G124.16,G,479.5,99970
G124.16,EBF,477.0,25067
G124.16,EG,473.0,96125
G124.16,ES,474.5,26008
G124.16,EPNES,466.0,16831
G124.32,BF,1017.0,23765
G124.32,G,1024.0,115350
G124.32,EBF,1020.0,26857
G124.32,EG,1021.0,92280
G124.32,ES,1016.0,24502
G124.32,EPNES,1017.5,30595
G124.64,BF,2217.5,21986
G124.64,G,2214.5,103815
G124.64,EBF,2217.0,20169
G124.64,EG,2213.5,96125
G124.64,ES,2214.0,42246
G124.64,EPNES,2214.5,36352
G124.01-1,BF,5.0,9774
G124.01-1,G,4.0,53830
G124.01-1,EBF,5.0,16050
G124.01-1,EG,4.0,49985
G124.01-1,ES,4.0,11970
G124.01-1,EPNES,6.0,8613
G124.01-2,BF,9.0,9482
G124.01-2,G,7.0,49985
G124.01-2,EBF,8.5,18468
G124.01-2,EG,8.5,57675
G124.01-2,ES,7.0,15396
G124.01-2,EPNES,7.5,11249
G124.01-3,BF,5.5,11569
G124.01-3,G,5.0,49985
G124.01-3,EBF,6.0,13667
G124.01-3,EG,6.0,46140
G124.01-3,ES,6.0,11435
G124.01-3,EPNES,6.0,13917
G124.02-1,BF,28.0,11351
G124.02-1,G,26.0,57675
G124.02-1,EBF,27.5,12973
G124.02-1,EG,27.0,61520
G124.02-1,ES,31.0,48465
G124.02-1,EPNES,29.0,11023
