instances,algorithm,fitness,evaluations
G124.04-3,ES,121.5,59606
G124.04-3,EPNES,122.5,50726
G124.08-1,BF,310.0,38328
G124.08-1,G,331.0,153762
G124.08-1,EBF,315.0,53718
G124.08-1,EG,330.5,153762
G124.08-1,ES,310.5,59710
G124.08-1,EPNES,312.5,63155
G124.08-2,BF,307.5,29246
G124.08-2,G,321.5,153762
G124.08-2,EBF,305.0,65113
G124.08-2,EG,322.0,153762
G124.08-2,ES,306.5,62001
G124.08-2,EPNES,307.5,77503
G124.08-3,BF,328.5,40344
G124.08-3,G,342.5,153762
G124.08-3,EBF,325.5,51284
G124.08-3,EG,342.5,153762
G124.08-3,ES,328.0,105098
G124.08-3,EPNES,324.5,76393
G124.16-1,BF,687.0,91259
G124.16-1,G,716.5,153762
G124.16-1,EBF,692.5,51866
G124.16-1,EG,711.0,153762
G124.16-1,ES,692.5,40633
G124.16-1,EPNES,693.0,45180
G124.16-2,BF,733.0,76211
G124.16-2,G,761.0,153762
G124.16-2,EBF,738.5,51647
G124.16-2,EG,763.0,153762
G124.16-2,ES,737.5,68495
G124.16-2,EPNES,738.5,64194
G124.16-3,BF,718.0,47334
G124.16-3,G,740.5,153762
G124.16-3,EBF,724.5,67240
G124.16-3,EG,739.0,153762
G124.16-3,ES,719.0,40808
G124.16-3,EPNES,722.0,51260
G124.32-1,BF,1581.5,59288
G124.32-1,G,1616.0,153762
G124.32-1,EBF,1574.5,53802
G124.32-1,EG,1608.0,153762
G124.32-1,ES,1572.0,42089
G124.32-1,EPNES,1583.0,27059
G124.32-2,BF,1571.5,95939
G124.32-2,G,1607.0,153762
G124.32-2,EBF,1582.0,48098
G124.32-2,EG,1605.5,153762
G124.32-2,ES,1574.0,32917
G124.32-2,EPNES,1570.5,94689
G124.32-3,BF,1604.0,74753
G124.32-3,G,1634.0,153762
G124.32-3,EBF,1605.0,78154
G124.32-3,EG,1643.0,153762
G124.32-3,ES,1608.0,103688
G124.32-3,EPNES,1611.0,58117
G124.64-1,BF,3402.5,48137
G124.64-1,G,3429.0,153762
G124.64-1,EBF,3395.0,69059
G124.64-1,EG,3432.5,153762
G124.64-1,ES,3401.0,62577
G124.64-1,EPNES,3399.5,70430
G124.64-2,BF,3444.5,74903
G124.64-2,G,3475.5,153762
G124.64-2,EBF,3443.0,59030
G124.64-2,EG,3470.0,153762
G124.64-2,ES,3439.0,108727
G124.64-2,EPNES,3439.5,60344
G124.64-3,BF,3408.0,55494
G124.64-3,G,3446.0,153762
G124.64-3,EBF,3407.5,67583
G124.64-3,EG,3446.0,153762
G124.64-3,ES,3409.5,45765
G124.64-3,EPNES,3414.0,77271
