instances,algorithm,fitness,evaluations
G124.01,BF,13.5,21602
G124.01,G,13.0,153760
G124.01,EBF,12.5,25137
G124.01,EG,13.5,153760
G124.01,ES,14.0,18022
G124.01,EPNES,15.0,19019
G124.02,BF,42.0,35549
G124.02,G,44.5,153760
G124.02,EBF,44.0,22738
G124.02,EG,42.0,153761
G124.02,ES,42.5,85543
G124.02,EPNES,44.0,26472
G124.04,BF,131.0,66277
G124.04,G,136.5,153762
G124.04,EBF,132.0,62191
G124.04,EG,138.0,153762
G124.04,ES,129.0,43424
G124.04,EPNES,129.5,51658
G124.08,BF,300.0,33786
G124.08,G,317.0,153762
G124.08,EBF,298.5,64649
G124.08,EG,317.0,153762
G124.08,ES,305.0,60948
G124.08,EPNES,303.5,70703
G124.16,BF,751.0,50508
G124.16,G,774.5,153762
G124.16,EBF,752.5,101621
G124.16,EG,771.5,153762
G124.16,ES,746.0,44483
G124.16,EPNES,750.0,49948
G124.32,BF,1583.5,42645
G124.32,G,1612.5,153762
G124.32,EBF,1580.5,49539
G124.32,EG,1616.5,153762
G124.32,ES,1577.5,28357
G124.32,EPNES,1581.5,68364
G124.64,BF,3387.0,65570
G124.64,G,3418.0,153762
G124.64,EBF,3380.0,52880
G124.64,EG,3427.0,153762
G124.64,ES,3386.5,78844
G124.64,EPNES,3395.0,56451
G124.01-1,BF,8.0,27513
G124.01-1,G,6.5,121107
G124.01-1,EBF,9.0,23272
G124.01-1,EG,9.5,132641
G124.01-1,ES,8.5,38918
G124.01-1,EPNES,8.5,20317
G124.01-2,BF,12.5,18137
G124.01-2,G,12.0,149942
G124.01-2,EBF,12.5,18217
G124.01-2,EG,10.5,138408
G124.01-2,ES,14.5,17819
G124.01-2,EPNES,14.0,22068
G124.01-3,BF,10.0,28915
G124.01-3,G,10.0,126874
G124.01-3,EBF,11.0,41834
G124.01-3,EG,10.5,153760
G124.01-3,ES,9.0,31980
G124.01-3,EPNES,10.5,20496
G124.02-1,BF,44.0,48102
G124.02-1,G,48.0,153762
G124.02-1,EBF,44.5,30340
G124.02-1,EG,47.5,153762
G124.02-1,ES,44.0,66642
G124.02-1,EPNES,46.0,28821
G124.02-2,BF,52.5,44797
G124.02-2,G,54.5,153762
G124.02-2,EBF,53.0,34109
G124.02-2,EG,53.5,153761
G124.02-2,ES,52.5,53859
G124.02-2,EPNES,49.5,29903
G124.02-3,BF,42.0,17332
G124.02-3,G,41.0,153761
G124.02-3,EBF,40.0,24365
G124.02-3,EG,41.5,153762
G124.02-3,ES,41.5,31131
G124.02-3,EPNES,42.0,35165
G124.04-1,BF,109.0,30355
G124.04-1,G,116.0,153762
G124.04-1,EBF,110.0,25766
G124.04-1,EG,113.0,153762
G124.04-1,ES,111.5,66983
G124.04-1,EPNES,110.0,36541
G124.04-2,BF,128.0,50053
G124.04-2,G,136.0,153762
G124.04-2,EBF,125.0,48272
G124.04-2,EG,139.5,153762
G124.04-2,ES,129.0,57130
G124.04-2,EPNES,133.5,34782
G124.04-3,BF,118.0,50943
G124.04-3,G,128.5,153762
G124.04-3,EBF,122.0,51330
G124.04-3,EG,131.0,153762
