instances,algorithm,fitness,evaluations
G124.01,BF,11.5,15013
G124.01,G,9.0,127032
G124.01,EBF,12.0,15579
G124.01,EG,10.0,121739
G124.01,ES,10.0,45606
G124.01,EPNES,11.5,14797
G124.02,BF,36.0,21992
G124.02,G,35.5,137618
G124.02,EBF,36.5,31404
G124.02,EG,34.5,153497
G124.02,ES,36.0,59656
G124.02,EPNES,33.5,22529
G124.04,BF,111.0,24014
G124.04,G,113.0,148204
G124.04,EBF,113.0,31978
G124.04,EG,116.0,148204
G124.04,ES,112.0,16857
G124.04,EPNES,112.0,65927
G124.08,BF,257.5,51575
G124.08,G,267.5,153761
G124.08,EBF,257.5,40212
G124.08,EG,268.0,153761
G124.08,ES,257.5,42133
G124.08,EPNES,254.0,21929
G124.16,BF,656.0,29605
G124.16,G,658.0,153761
G124.16,EBF,651.5,32250
G124.16,EG,665.0,153762
G124.16,ES,649.5,42151
G124.16,EPNES,654.5,33659
G124.32,BF,1374.0,48388
G124.32,G,1398.5,153761
G124.32,EBF,1385.5,55211
G124.32,EG,1398.5,153761
G124.32,ES,1380.5,26162
G124.32,EPNES,1386.0,38719
G124.64,BF,2980.5,39783
G124.64,G,3004.5,153761
G124.64,EBF,2989.0,41326
G124.64,EG,3001.5,153761
G124.64,ES,2979.0,62135
G124.64,EPNES,2989.0,36851
G124.01-1,BF,9.0,13689
G124.01-1,G,6.0,111153
G124.01-1,EBF,6.5,17917
G124.01-1,EG,7.0,84688
G124.01-1,ES,9.0,19645
G124.01-1,EPNES,6.5,17087
G124.01-2,BF,11.5,14937
G124.01-2,G,11.5,100567
G124.01-2,EBF,11.5,17063
G124.01-2,EG,9.0,116446
G124.01-2,ES,10.5,26730
G124.01-2,EPNES,11.0,25894
G124.01-3,BF,9.0,12350
G124.01-3,G,9.0,100567
G124.01-3,EBF,9.0,17118
G124.01-3,EG,8.0,105860
G124.01-3,ES,10.0,25851
G124.01-3,EPNES,10.0,17655
G124.02-1,BF,37.0,38114
G124.02-1,G,39.5,148204
G124.02-1,EBF,37.5,17592
G124.02-1,EG,37.0,111153
G124.02-1,ES,39.0,46775
G124.02-1,EPNES,38.0,18847
G124.02-2,BF,42.0,26144
G124.02-2,G,46.5,137618
G124.02-2,EBF,46.0,25021
G124.02-2,EG,44.5,132325
G124.02-2,ES,44.5,54617
G124.02-2,EPNES,46.0,23013
G124.02-3,BF,36.5,29081
G124.02-3,G,34.5,153497
G124.02-3,EBF,35.5,16686
G124.02-3,EG,35.0,148204
G124.02-3,ES,33.5,74619
G124.02-3,EPNES,34.5,39116
G124.04-1,BF,94.5,19725
G124.04-1,G,95.5,132325
G124.04-1,EBF,94.5,37054
G124.04-1,EG,94.0,153497
G124.04-1,ES,95.0,41695
G124.04-1,EPNES,89.5,41226
G124.04-2,BF,106.5,25551
G124.04-2,G,109.0,153761
G124.04-2,EBF,108.0,26129
G124.04-2,EG,112.5,153761
G124.04-2,ES,104.5,38844
G124.04-2,EPNES,109.5,26721
G124.04-3,BF,103.5,34347
G124.04-3,G,104.0,153761
G124.04-3,EBF,106.0,22264
G124.04-3,EG,107.5,142911
G124.04-3,ES,101.5,32119
G124.04-3,EPNES,102.0,42679
G124.08-1,BF,262.0,44606
G124.08-1,G,277.5,153761
G124.08-1,EBF,267.0,32024
G124.08-1,EG,274.5,153761
G124.08-1,ES,270.0,59726
G124.08-1,EPNES,268.0,48547
G124.08-2,BF,259.5,55132
G124.08-2,G,274.0,153761
G124.08-2,EBF,260.0,34595
G124.08-2,EG,271.0,153761
G124.08-2,ES,269.0,62560
G124.08-2,EPNES,263.0,53646
G124.08-3,BF,280.0,26952
G124.08-3,G,284.5,153760
G124.08-3,EBF,282.0,43371
G124.08-3,EG,283.0,153761
G124.08-3,ES,277.0,77273
G124.08-3,EPNES,277.5,41907
G124.16-1,BF,598.0,61486
G124.16-1,G,609.0,153762
G124.16-1,EBF,605.5,49155
G124.16-1,EG,611.0,153761
G124.16-1,ES,607.5,56563
G124.16-1,EPNES,601.0,21640
G124.16-2,BF,638.0,41242
G124.16-2,G,645.5,153761
G124.16-2,EBF,642.5,60959
G124.16-2,EG,650.5,153762
G124.16-2,ES,637.5,41603
G124.16-2,EPNES,639.0,40806
G124.16-3,BF,628.5,36965
G124.16-3,G,635.5,153761
G124.16-3,EBF,623.5,36070
G124.16-3,EG,635.0,153761
G124.16-3,ES,623.5,46194
G124.16-3,EPNES,622.5,51318
G124.32-1,BF,1377.0,47959
G124.32-1,G,1395.0,153762
G124.32-1,EBF,1380.0,48320
G124.32-1,EG,1392.5,153761
G124.32-1,ES,1383.0,42433
G124.32-1,EPNES,1383.5,56736
G124.32-2,BF,1381.0,80563
G124.32-2,G,1398.0,153761
G124.32-2,EBF,1381.5,56861
G124.32-2,EG,1397.0,153761
G124.32-2,ES,1374.0,54796
G124.32-2,EPNES,1380.5,40763
G124.32-3,BF,1397.0,35605
G124.32-3,G,1421.5,153761
G124.32-3,EBF,1396.0,42674
G124.32-3,EG,1419.5,153761
G124.32-3,ES,1405.0,83266
G124.32-3,EPNES,1400.0,62501
G124.64-1,BF,2989.0,45872
G124.64-1,G,3010.5,153761
G124.64-1,EBF,2988.0,55572
G124.64-1,EG,3008.0,153762
G124.64-1,ES,2990.0,101893
G124.64-1,EPNES,3000.5,43503
G124.64-2,BF,3028.5,42298
G124.64-2,G,3041.0,153761
G124.64-2,EBF,3027.5,82186
G124.64-2,EG,3043.0,153760
G124.64-2,ES,3028.0,74069
G124.64-2,EPNES,3034.0,52540
G124.64-3,BF,2999.5,81904
G124.64-3,G,3022.0,153761
G124.64-3,EBF,3005.5,58911
G124.64-3,EG,3024.0,153761
G124.64-3,ES,3005.5,28408
G124.64-3,EPNES,3002.0,71992
