instances,BF,G,EBF,EG,ES,EPNS
G62.01,3.0,3.0,3.0,2.0,3.0,2.5
G62.02,6.5,6.0,7.0,7.0,6.5,7.0
G62.04,30.0,28.0,29.0,28.0,28.0,27.5
G62.08,75.0,75.5,75.5,72.0,73.0,73.5
G62.16,159.0,158.5,159.0,157.5,157.5,158.0
G62.32,350.0,347.0,346.0,350.0,348.0,348.5
G62.64,850.0,844.0,847.5,844.0,844.5,847.0
G124.01,13.5,13.0,12.5,13.5,14.0,15.0
G124.02,42.0,44.5,44.0,42.0,42.5,44.0
G124.04,131.0,136.5,132.0,138.0,129.0,129.5
G124.08,300.0,317.0,298.5,317.0,305.0,303.5
G124.16,751.0,774.5,752.5,771.5,746.0,750.0
G124.32,1583.5,1612.5,1580.5,1616.5,1577.5,1581.5
G124.64,3387.0,3418.0,3380.0,3427.0,3386.5,3395.0
G250.01,98.5,145.0,101.0,142.5,97.0,103.0
G250.02,239.5,315.5,241.5,315.5,240.5,240.5
G250.04,634.0,760.5,635.0,760.0,640.0,638.5
G250.08,1380.0,1551.5,1375.0,1549.5,1371.5,1374.0
G500.01,471.5,732.0,488.5,742.5,486.0,479.0
