instances,BF,G,EBF,EG,ES,EPNS
G62.01,2.0,1.5,2.0,2.0,2.0,2.0
G62.02,3.0,3.0,4.0,3.0,3.0,4.0
G62.04,18.5,16.5,17.5,15.5,18.0,17.0
G62.08,43.5,45.5,44.5,42.5,45.5,44.0
G62.16,99.0,100.0,95.0,95.0,100.0,97.0
G62.32,219.5,219.0,217.0,219.5,214.5,221.0
G62.64,546.5,548.0,546.0,549.0,550.0,546.5
G124.01,9.0,6.5,7.5,6.0,8.0,8.0
G124.02,23.5,22.5,25.0,25.5,25.0,24.5
G124.04,81.0,81.0,79.0,85.5,80.0,79.0
G124.08,188.5,186.5,188.5,187.0,190.5,186.5
G124.16,476.5,479.5,477.0,473.0,474.5,466.0
G124.32,1017.0,1024.0,1020.0,1021.0,1016.0,1017.5
G124.64,2217.5,2214.5,2217.0,2213.5,2214.0,2214.5
G250.01,62.5,64.0,61.0,59.0,63.5,60.0
G250.02,145.5,149.0,148.5,148.5,146.5,145.5
G250.04,400.5,405.5,390.0,410.0,400.0,397.5
G250.08,865.5,891.0,870.0,891.5,870.0,881.0
G500.01,293.5,371.5,292.0,370.5,291.0,301.0
