instances,BF,G,EBF,EG,ES,EPNS
G48.5-1,236.5,237.5,237.5,236.0,235.0,237.0
G48.5-2,233.5,234.0,233.0,233.0,236.0,233.0
G48.5-3,237.5,236.5,238.5,236.5,237.0,237.0
G48.5-4,227.0,226.0,226.0,224.5,227.5,227.0
G48.5-5,234.5,232.0,236.5,233.5,232.5,235.0
G48.5-6,240.5,239.5,238.5,237.5,237.5,238.0
G48.5-7,233.0,234.0,232.0,234.0,232.5,234.5
G48.5-8,244.0,243.5,245.5,243.0,246.0,243.0
G48.5-9,238.5,239.5,241.0,241.0,239.5,240.5
G48.5-10,227.5,229.0,227.0,230.5,230.5,231.0
G48.5-11,231.0,225.5,231.0,225.0,225.0,226.5
G48.5-12,237.5,231.5,234.0,233.0,231.5,233.0
G48.5-13,228.0,230.0,230.0,229.5,230.0,232.0
G48.5-14,239.5,239.5,237.0,238.5,239.0,240.5
G48.5-15,226.0,225.5,228.0,227.0,225.0,226.0
G48.5-16,244.5,243.0,241.5,245.0,243.5,244.5
G48.5-17,225.0,224.5,225.0,226.0,226.5,224.5
G48.5-18,224.0,225.0,224.0,228.0,221.5,223.0
G48.5-19,244.5,245.0,243.0,247.5,245.0,248.5
G48.5-20,251.0,253.5,251.5,255.0,251.5,256.0
G48.5-21,237.0,237.0,238.5,237.5,238.0,237.5
G48.5-22,225.0,222.5,224.0,223.5,223.5,219.5
G48.5-23,230.5,231.5,231.0,232.0,234.5,233.0
G48.5-24,217.0,214.0,216.0,214.0,213.0,213.5
G48.5-25,226.5,230.5,227.5,231.0,225.0,228.0
G48.5-26,245.5,241.0,243.0,243.5,246.5,246.5
G48.5-27,231.0,224.5,228.0,222.5,225.5,227.0
G48.5-28,244.0,246.0,245.0,243.5,247.0,244.5
G48.5-29,235.0,236.5,235.0,239.0,234.0,233.0
G48.5-30,235.0,235.0,237.5,237.5,234.0,234.0
G48.5-31,262.0,261.5,261.0,262.0,264.0,262.0
G48.5-32,238.0,237.0,236.0,241.0,241.5,237.5
G48.5-33,238.0,237.0,236.5,234.0,236.0,237.5
G48.5-34,236.5,234.5,236.5,233.5,234.5,234.0
G48.5-35,229.0,228.5,229.0,229.5,229.0,227.0
G48.5-36,239.5,241.0,242.0,240.0,241.5,240.0
G48.5-37,229.0,230.0,231.0,231.5,231.0,230.0
G48.5-38,249.0,251.5,246.0,247.5,252.0,248.0
G48.5-39,231.0,232.0,232.0,231.0,233.0,230.5
G48.5-40,235.5,234.0,234.0,234.0,239.0,238.0
G48.5-41,231.0,232.5,229.0,229.5,231.5,232.0
G48.5-42,232.0,232.0,229.5,231.0,230.0,234.0
G48.5-43,237.5,237.0,239.5,239.0,235.5,236.5
G48.5-44,232.5,221.0,227.0,231.5,234.0,221.5
G48.5-45,232.5,230.0,228.5,228.0,230.5,230.0
G48.5-46,243.5,250.0,243.5,243.5,249.5,244.5
G48.5-47,241.0,239.0,239.0,239.0,239.5,242.0
G48.5-48,227.0,226.5,223.5,225.0,224.5,225.5
G48.5-49,221.0,222.0,220.5,221.0,222.5,218.5
G48.5-50,231.5,231.0,231.5,231.0,231.0,229.5
