instances,BF,G,EBF,EG,ES,EPNS
G48.5-1,372.0,368.0,370.0,373.5,371.5,372.0
G48.5-2,365.0,367.0,366.5,366.0,367.5,366.0
G48.5-3,377.0,378.0,377.0,374.0,377.0,375.0
G48.5-4,356.0,356.5,357.5,357.5,357.0,360.0
G48.5-5,371.0,369.0,368.0,370.0,370.5,370.0
G48.5-6,371.0,374.0,370.5,373.0,373.5,372.0
G48.5-7,369.5,369.0,367.0,368.0,371.5,370.5
G48.5-8,382.0,379.5,382.5,382.0,381.0,383.0
G48.5-9,386.0,383.0,381.0,384.5,381.0,383.5
G48.5-10,363.5,363.0,362.0,363.0,364.0,364.0
G48.5-11,365.0,364.5,363.0,365.5,365.5,365.0
G48.5-12,366.5,369.5,368.0,367.0,367.0,367.5
G48.5-13,363.0,363.5,363.5,362.0,362.5,364.0
G48.5-14,376.0,374.0,376.0,374.5,375.5,378.0
G48.5-15,357.5,355.5,357.5,353.0,356.0,356.0
G48.5-16,384.0,385.0,382.5,384.5,381.5,383.5
G48.5-17,358.0,356.5,360.0,359.0,361.5,360.5
G48.5-18,356.0,355.5,356.5,355.0,355.5,357.0
G48.5-19,385.0,386.0,383.5,386.0,387.0,385.0
G48.5-20,399.0,399.5,399.0,398.0,396.5,398.0
G48.5-21,375.5,373.5,374.0,374.5,374.5,374.5
G48.5-22,354.0,355.5,353.0,355.5,352.5,352.0
G48.5-23,367.0,367.0,367.0,369.0,370.0,366.0
G48.5-24,345.0,347.5,344.5,345.0,345.5,346.0
G48.5-25,358.5,355.5,361.0,358.5,358.0,360.5
G48.5-26,382.5,388.0,386.5,386.0,385.5,385.0
G48.5-27,362.0,363.5,360.5,363.0,359.0,361.5
G48.5-28,386.0,386.0,387.0,385.0,382.0,385.5
G48.5-29,370.0,370.5,370.0,371.5,372.5,369.0
G48.5-30,374.5,376.5,374.0,374.0,377.5,376.5
G48.5-31,411.0,413.0,410.5,411.0,411.5,412.0
G48.5-32,377.5,379.5,377.0,377.0,382.5,379.0
G48.5-33,370.5,371.0,372.0,374.5,373.0,371.0
G48.5-34,370.5,368.0,368.0,369.0,368.0,367.5
G48.5-35,363.5,363.0,360.0,363.0,363.0,364.5
G48.5-36,378.0,378.5,377.0,379.5,380.0,378.0
G48.5-37,360.0,363.5,360.0,362.0,365.0,361.5
G48.5-38,393.5,393.0,394.0,395.0,395.5,393.5
G48.5-39,363.5,365.5,366.5,362.0,365.0,363.0
G48.5-40,375.0,378.0,377.5,378.0,377.5,375.0
G48.5-41,369.5,370.0,369.0,370.0,369.5,369.0
G48.5-42,361.5,362.0,364.0,363.5,364.0,362.5
G48.5-43,370.0,372.0,374.5,370.0,372.0,372.5
G48.5-44,366.0,366.0,364.5,365.5,363.5,365.5
G48.5-45,360.0,361.5,357.5,358.5,359.5,361.5
G48.5-46,388.5,391.5,391.0,390.0,391.5,390.0
G48.5-47,379.0,381.0,379.0,379.5,379.5,382.0
G48.5-48,354.5,353.0,355.0,352.5,352.0,353.5
G48.5-49,352.5,353.5,350.0,353.0,353.0,352.5
G48.5-50,367.5,364.0,363.5,365.5,363.0,364.5
