instances,BF,G,EBF,EG,ES,EPNS
G124.02,42.0,44.5,44.0,42.0,42.5,44.0
G124.16,751.0,774.5,752.5,771.5,746.0,750.0
G250.01,98.5,145.0,101.0,142.5,97.0,103.0
G250.02,239.5,315.5,241.5,315.5,240.5,240.5
G250.04,634.0,760.5,635.0,760.0,640.0,638.5
G250.08,1380.0,1551.5,1375.0,1549.5,1371.5,1374.0
