instances,BF,G,EBF,EG,ES,EPNS
G124.01,9.0,6.5,7.5,6.0,8.0,8.0
G124.02,23.5,22.5,25.0,25.5,25.0,24.5
G124.04,81.0,81.0,79.0,85.5,80.0,79.0
G124.08,188.5,186.5,188.5,187.0,190.5,186.5
G124.16,476.5,479.5,477.0,473.0,474.5,466.0
G124.32,1017.0,1024.0,1020.0,1021.0,1016.0,1017.5
G124.64,2217.5,2214.5,2217.0,2213.5,2214.0,2214.5
G124.01-1,5.0,4.0,5.0,4.0,4.0,6.0
G124.01-2,9.0,7.0,8.5,8.5,7.0,7.5
G124.01-3,5.5,5.0,6.0,6.0,6.0,6.0
G124.02-1,28.0,26.0,27.5,27.0,31.0,29.0
G124.02-2,32.5,32.0,33.0,32.0,34.5,32.0
G124.02-3,24.0,23.5,26.0,26.0,24.5,25.5
G124.04-1,62.5,68.0,65.5,69.0,67.5,64.0
G124.04-2,82.0,76.0,76.5,80.0,79.0,77.5
G124.04-3,78.5,78.5,75.5,75.0,77.5,75.0
G124.08-1,191.5,191.0,194.0,196.5,192.0,192.0
G124.08-2,196.0,194.0,189.0,190.5,186.0,195.5
G124.08-3,195.5,200.5,203.0,202.5,201.0,200.5
G124.16-1,436.0,437.0,438.0,437.0,433.5,445.5
G124.16-2,468.0,466.5,471.5,468.5,468.0,469.5
G124.16-3,458.0,458.0,449.0,454.5,463.0,459.5
G124.32-1,1013.5,1018.5,1015.5,1017.5,1011.5,1014.5
G124.32-2,1014.0,1016.0,1011.5,1017.5,1019.5,1016.0
G124.32-3,1030.5,1039.0,1038.5,1027.0,1034.5,1032.5
G124.64-1,2215.5,2223.0,2217.5,2221.5,2219.0,2219.0
G124.64-2,2237.5,2258.0,2246.5,2254.0,2249.0,2245.0
G124.64-3,2219.0,2229.5,2224.0,2228.0,2227.5,2233.5
