instance	k	algorithm	evaluations	value	time	steps
G72.75-1	2	BF	4661	890.0	2.1182873249053955	30
G72.75-1	2	BF	9915	893.0	4.397630929946899	31
G72.75-1	2	BF	4221	895.0	1.8644664287567139	38
G72.75-1	2	BF	3555	891.0	1.526425838470459	40
G72.75-1	2	BF	4293	900.0	1.9458465576171875	31
G72.75-1	2	BF	4459	891.0	2.0406360626220703	42
G72.75-1	2	BF	3258	896.0	1.4978857040405273	32
G72.75-1	2	BF	6305	893.0	2.9989356994628906	34
G72.75-1	2	BF	4739	894.0	2.0636651515960693	46
G72.75-1	2	BF	6367	889.0	2.727674722671509	40
G72.75-1	2	G	19455	888.0	8.325129985809326	13
G72.75-1	2	G	16861	894.0	7.225202798843384	11
G72.75-1	2	G	19455	893.0	8.3551504611969	13
G72.75-1	2	G	14267	891.0	6.097330093383789	9
G72.75-1	2	G	18158	893.0	7.979189872741699	12
G72.75-1	2	G	22049	892.0	10.101033687591553	15
G72.75-1	2	G	18158	896.0	7.777886629104614	12
G72.75-1	2	G	19455	890.0	8.387018918991089	13
G72.75-1	2	G	22049	895.0	9.48293662071228	15
G72.75-1	2	G	15564	895.0	6.662307262420654	10
G72.75-1	2	EBF	5970	899.0	2.5877325534820557	30
G72.75-1	2	EBF	9654	888.0	4.162290811538696	40
G72.75-1	2	EBF	6648	889.0	2.8408925533294678	41
G72.75-1	2	EBF	6639	891.0	2.870620012283325	33
G72.75-1	2	EBF	8707	891.0	3.736875295639038	38
G72.75-1	2	EBF	4816	889.0	2.0789310932159424	49
G72.75-1	2	EBF	4479	897.0	1.9242775440216064	31
G72.75-1	2	EBF	7718	889.0	3.32204532623291	34
G72.75-1	2	EBF	5481	895.0	2.3695309162139893	47
G72.75-1	2	EBF	8003	893.0	3.451216459274292	50
G72.75-1	2	EG	18158	889.0	7.819528818130493	12
G72.75-1	2	EG	16861	897.0	7.318012952804565	11
G72.75-1	2	EG	20752	895.0	9.1282377243042	14
G72.75-1	2	EG	16861	896.0	7.509157657623291	11
G72.75-1	2	EG	18158	893.0	8.256906032562256	12
G72.75-1	2	EG	19455	899.0	8.630737066268921	13
G72.75-1	2	EG	14267	902.0	6.279470682144165	9
G72.75-1	2	EG	23346	891.0	9.979465961456299	16
G72.75-1	2	EG	22049	888.0	9.427370309829712	15
G72.75-1	2	EG	22049	893.0	9.424515724182129	15
G72.75-1	2	ES	35375	888.0	15.189153671264648	37
G72.75-1	2	ES	8347	900.0	3.5721852779388428	38
G72.75-1	2	ES	5777	889.0	2.453399658203125	31
G72.75-1	2	ES	7763	896.0	3.3325250148773193	41
G72.75-1	2	ES	13660	893.0	5.883045673370361	40
G72.75-1	2	ES	23130	891.0	9.93013048171997	47
G72.75-1	2	ES	10572	894.0	4.554643154144287	32
G72.75-1	2	ES	3637	889.0	1.550501823425293	40
G72.75-1	2	ES	32325	894.0	13.894497871398926	42
G72.75-1	2	ES	4487	899.0	1.9628207683563232	36
G72.75-1	2	EPNES	5088	893.0	2.2256920337677	40
G72.75-1	2	EPNES	9314	892.0	4.077931642532349	40
G72.75-1	2	EPNES	9696	890.0	4.213629484176636	40
G72.75-1	2	EPNES	4486	897.0	1.9627366065979004	30
G72.75-1	2	EPNES	7031	887.0	3.088096857070923	46
G72.75-1	2	EPNES	8633	888.0	3.779083013534546	37
G72.75-1	2	EPNES	4231	891.0	1.8881404399871826	33
G72.75-1	2	EPNES	6469	889.0	2.8109469413757324	35
G72.75-1	2	EPNES	7067	896.0	3.0879669189453125	39
G72.75-1	2	EPNES	3637	897.0	1.609532117843628	35
G72.75-1	3	BF	9136	1203.0	3.9964759349823	53
G72.75-1	3	BF	19400	1209.0	8.471998453140259	46
G72.75-1	3	BF	7357	1209.0	3.23714017868042	45
G72.75-1	3	BF	14192	1204.0	6.196430444717407	56
G72.75-1	3	BF	10896	1205.0	4.773268222808838	57
G72.75-1	3	BF	8287	1204.0	3.630443572998047	57
G72.75-1	3	BF	12447	1202.0	5.445589780807495	73
G72.75-1	3	BF	12723	1202.0	5.569199323654175	56
G72.75-1	3	BF	9676	1207.0	4.2071404457092285	63
G72.75-1	3	BF	12071	1203.0	5.2496116161346436	56
G72.75-1	3	G	32851	1218.0	14.314956188201904	17
G72.75-1	3	G	38038	1211.0	16.577086925506592	20
G72.75-1	3	G	39767	1206.0	17.267253637313843	21
G72.75-1	3	G	31122	1205.0	13.549962282180786	16
G72.75-1	3	G	43225	1205.0	18.831573247909546	23
G72.75-1	3	G	27664	1212.0	12.066260814666748	14
G72.75-1	3	G	36309	1206.0	15.819195032119751	19
G72.75-1	3	G	39767	1207.0	17.3130362033844	21
G72.75-1	3	G	36309	1211.0	15.822896718978882	19
G72.75-1	3	G	29393	1217.0	12.787931203842163	15
G72.75-1	3	EBF	9857	1206.0	4.328336000442505	41
G72.75-1	3	EBF	16409	1206.0	7.203571796417236	52
G72.75-1	3	EBF	15236	1206.0	6.661539554595947	47
G72.75-1	3	EBF	10351	1204.0	4.547251224517822	67
G72.75-1	3	EBF	11420	1204.0	5.005120754241943	65
G72.75-1	3	EBF	7122	1214.0	3.1311895847320557	59
G72.75-1	3	EBF	8471	1200.0	3.681029796600342	60
G72.75-1	3	EBF	11475	1202.0	5.0515477657318115	52
G72.75-1	3	EBF	14490	1212.0	6.345472812652588	54
G72.75-1	3	EBF	12223	1206.0	5.351938962936401	64
G72.75-1	3	EG	34580	1210.0	15.205735445022583	18
G72.75-1	3	EG	48412	1203.0	21.12746524810791	26
G72.75-1	3	EG	39767	1209.0	18.5654399394989	21
G72.75-1	3	EG	27664	1221.0	12.094099044799805	14
G72.75-1	3	EG	29393	1213.0	12.998391151428223	15
G72.75-1	3	EG	36309	1211.0	16.188706159591675	19
G72.75-1	3	EG	27664	1213.0	12.217134237289429	14
G72.75-1	3	EG	34580	1211.0	15.261473178863525	18
G72.75-1	3	EG	31122	1210.0	13.723531246185303	16
G72.75-1	3	EG	44954	1203.0	19.82291865348816	24
G72.75-1	3	ES	10210	1214.0	4.522665500640869	43
G72.75-1	3	ES	28993	1202.0	12.81951093673706	67
G72.75-1	3	ES	14835	1206.0	6.551880598068237	53
G72.75-1	3	ES	16889	1200.0	7.4489734172821045	59
G72.75-1	3	ES	23636	1213.0	10.533405303955078	50
G72.75-1	3	ES	51841	1200.0	22.9443416595459	69
G72.75-1	3	ES	19479	1197.0	8.607482433319092	57
G72.75-1	3	ES	7575	1215.0	3.375403642654419	51
G72.75-1	3	ES	13140	1204.0	5.821987867355347	49
G72.75-1	3	ES	15841	1202.0	6.996512174606323	53
G72.75-1	3	EPNES	8715	1203.0	3.984475612640381	47
G72.75-1	3	EPNES	11369	1200.0	5.1743597984313965	55
