instances,BF,G,EBF,EG,ES,EPNS
G48.5-1,323.5,322.5,323.5,325.0,322.5,323.5
G48.5-2,321.0,320.0,319.5,319.5,318.0,319.0
G48.5-3,326.5,327.0,329.0,325.5,325.5,326.0
G48.5-4,310.0,312.5,310.0,309.5,309.5,312.5
G48.5-5,321.0,322.0,323.0,326.0,323.0,321.5
G48.5-6,324.5,325.5,326.5,325.0,324.0,325.0
G48.5-7,321.0,320.0,320.0,322.5,321.5,321.5
G48.5-8,334.5,333.5,331.0,330.0,332.0,333.0
G48.5-9,331.0,335.0,331.0,334.5,334.5,332.5
G48.5-10,315.5,316.0,316.0,316.0,315.5,314.0
G48.5-11,316.5,317.0,317.5,317.5,322.0,315.5
G48.5-12,318.0,318.5,319.5,321.0,319.0,323.5
G48.5-13,317.0,317.5,316.5,316.5,316.0,315.0
G48.5-14,326.5,326.0,327.5,325.0,327.0,327.5
G48.5-15,307.5,308.5,308.5,306.5,309.5,311.5
G48.5-16,334.5,333.5,334.5,333.5,334.0,332.5
G48.5-17,311.5,312.5,314.5,311.0,315.0,311.0
G48.5-18,309.5,308.0,308.0,309.5,309.5,308.0
G48.5-19,335.5,337.5,338.5,334.0,334.5,333.5
G48.5-20,346.0,344.0,345.0,347.5,346.5,346.5
G48.5-21,325.0,326.0,325.0,327.0,326.5,325.5
G48.5-22,306.5,309.5,307.0,308.0,307.5,308.0
G48.5-23,319.5,323.0,320.0,318.0,321.0,321.0
G48.5-24,299.5,299.5,300.5,300.5,300.0,300.5
G48.5-25,312.5,310.0,309.0,312.0,311.5,312.0
G48.5-26,333.5,335.5,335.5,336.5,335.5,334.0
G48.5-27,314.0,314.5,313.5,313.0,310.0,312.0
G48.5-28,338.0,337.5,335.0,335.0,334.5,337.0
G48.5-29,323.5,323.0,322.5,324.0,321.5,324.0
G48.5-30,325.0,323.0,325.0,325.0,327.0,326.5
G48.5-31,359.5,360.0,358.0,360.0,360.0,358.0
G48.5-32,329.0,330.0,327.0,328.0,330.0,329.5
G48.5-33,320.5,322.0,324.0,323.0,324.0,323.5
G48.5-34,321.5,325.0,319.0,320.0,324.0,323.0
G48.5-35,313.0,314.0,318.0,314.0,316.0,314.5
G48.5-36,329.5,327.5,329.0,331.5,327.5,330.0
G48.5-37,317.0,315.5,317.0,314.0,314.5,316.0
G48.5-38,341.5,344.0,344.5,342.0,343.0,342.5
G48.5-39,315.0,318.5,315.5,317.0,317.0,317.0
G48.5-40,327.5,328.0,324.0,327.0,329.0,325.0
G48.5-41,318.5,323.0,321.5,322.0,323.0,320.5
G48.5-42,319.5,314.0,317.5,318.5,316.5,319.0
G48.5-43,323.5,325.0,324.5,326.0,324.0,321.5
G48.5-44,320.5,319.0,316.0,319.0,317.0,318.5
G48.5-45,312.0,311.0,311.5,317.0,310.5,313.0
G48.5-46,342.5,340.0,341.0,340.0,337.0,337.0
G48.5-47,331.0,332.0,330.5,330.5,333.0,333.5
G48.5-48,309.0,306.5,310.0,308.5,310.0,307.0
G48.5-49,304.0,307.0,303.0,304.0,307.5,305.0
G48.5-50,316.0,318.5,316.5,316.5,321.0,318.5
